institute_id,category,institute_name,intake_total_2022_23,student_strength_total,student_strength_male,student_strength_female,faculty_count,phd_students_fulltime,phd_students_parttime,phd_graduated_2022_23,placement_median_salary_inr,capital_expenditure_2022_23,operational_expenditure_2022_23,sponsored_projects_2022_23,sponsored_amount_2022_23,nirf_score,nirf_rank,scorecard_year
IR-C-C-41100,College,Sri Ramakrishna College of Arts and Science,2410,6053,4077,1976,380,,,,415000,81398417,225128980,,,56.8,76.0,2024
IR-C-C-41106,College,Kongunadu Arts and Science College,2323,3826,1946,1880,266,,,,216000,8314779,264858823,,,,,2024
IR-C-C-41124,College,PSG College of Arts and Science,5041,12991,5884,7107,647,,,,500000,38374967,714656162,,,73.15,10.0,2024
IR-C-C-41126,College,Sri Krishna Arts and Science College,3220,8216,4159,4057,457,,,,450000,132050978,406476352,,,59.74,50.0,2024
IR-C-C-41140,College,A.P.C. Mahalaxmi College for Women,876,2143,2155,2155,142,,,,276000,13982469,96624755,,,55.44,88.0,2024
IR-C-C-41154,College,"Nesamony Memorial Christian College, Marthandam, Kanyakumari Dist.",1564,3611,1304,2307,200,,,,180000,5629764,229471851,,,57.67,63.0,2024
IR-C-C-41157,College,V.O. Chidambaram College,1168,3012,1692,1320,158,,,,275000,12101816,223792033,,,67.27,22.0,2024
IR-C-C-41173,College,"St. Xavier's College, Palayamkottai",1747,4299,2268,2031,220,,,,228000,12416403,287001103,,,60.16,48.0,2024
IR-C-C-41189,College,Scott Christian College,1341,3519,1794,1725,193,,,,246000,22749408,307158233,,,,,2024
IR-C-C-41191,College,Sadakathullah Appa College,1593,3560,2226,1334,192,,,,275000,35570822,268002632,,,,,2024
IR-C-C-43902,College,Ethiraj College for Women,3119,7525,7698,7698,360,,,,501840,48469510,463327411,,,57.64,64.0,2024
IR-C-C-43921,College,Presidency College,1864,4650,3053,1596,261,,,,216000,17857752,567272672,,,70.62,15.0,2024
IR-C-C-43931,College,Stella Maris College for Women,2501,4433,5886,5886,251,,,,400000,27071437,344397989,,,61.25,41.0,2024
IR-C-C-43946,College,Women`s Christian College,1879,3583,4421,4421,239,,,,430000,15955477,428151941,,,,,2024
IR-C-C-43964,College,Madras School of Social Work,431,875,284,591,65,,,,600000,26236840,86716546,,,58.9,55.0,2024
IR-C-C-43965,College,Madras Christian College,2628,6741,3362,3379,347,,,,350000,24882500,574862118,,,70.57,16.0,2024
IR-C-C-43998,College,Guru Nanak College,2925,7227,5589,1638,427,,,,300000,35058627,299290378,,,,,2024
IR-C-C-44006,College,Loyola College,3681,9294,8327,967,419,,,,459949,37656192,789491185,,,71.14,14.0,2024
IR-C-I-1293,College,Sri Ramakrishna Mission Vidyalaya College of Arts and Science,950,2079,2079,2079,123,,,,162000,3906943,165325324,,,54.66,94.0,2024
IR-C-N-6,College,Queen Mary`s College,1869,5199,5239,5239,245,,,,264000,5470854,635571924,,,57.68,62.0,2024
IR-N-C-45597,Dental,"Adhiparasakthi Dental College and Hospital, Kancheepuram",117,498,141,357,70,47.0,0.0,13.0,864000,20066524,219618067,9.0,450000.0,,,2024
IR-N-C-45605,Dental,Chettinad Dental College and Research Institute,123,569,143,426,67,0.0,0.0,0.0,600000,77496274,255959389,0.0,,54.9,32.0,2024
IR-N-I-1441,Dental,Saveetha Institute of Medical and Technical Sciences,151,660,206,454,84,59.0,10.0,7.0,696000,181728468,493704011,6.0,6627254.0,85.31,2.0,2024
IR-N-I-1486,Dental,Sri Ramachandra Institute of Higher Education and Research,138,528,127,401,86,118.0,30.0,38.0,1400000,29823208,580053100,37.0,20546845.0,61.28,13.0,2024
